block,sal,beaker,rep,purpdays,stress,stat
A,9,A9,A91,3,3,1
A,9,A9,A92,3,3,1
A,9,A9,A93,3,3,1
A,9,A9,A94,31,31,1
A,9,A9,A95,31,31,1
B,9,B9,B91,3,3,1
B,9,B9,B92,25,25,1
B,9,B9,B93,25,25,1
B,9,B9,B94,25,25,1
B,9,B9,B95,31,31,1
C,9,C9,C91,25,7,1
C,9,C9,C92,25,25,1
C,9,C9,C93,25,25,1
C,9,C9,C94,25,25,1
C,9,C9,C95,31,31,1
D,9,D9,D91,3,3,1
D,9,D9,D92,3,3,1
D,9,D9,D93,3,3,1
D,9,D9,D94,11,11,1
D,9,D9,D95,19,19,1
A,12,A12,A121,11,11,1
A,12,A12,A122,19,19,1
A,12,A12,A123,25,25,1
A,12,A12,A124,25,25,1
A,12,A12,A125,25,25,1
B,12,B12,B121,31,31,1
B,12,B12,B122,39,39,1
B,12,B12,B123,39,39,1
B,12,B12,B124,39,39,1
B,12,B12,B125,39,39,1
C,12,C12,C121,3,3,1
C,12,C12,C122,14,14,1
C,12,C12,C123,31,31,1
C,12,C12,C124,31,31,1
C,12,C12,C125,31,31,1
D,12,D12,D121,25,25,1
D,12,D12,D122,31,31,1
D,12,D12,D123,46,46,1
D,12,D12,D124,46,46,1
D,12,D12,D125,46,46,1
A,15,A15,A151,31,31,1
A,15,A15,A152,31,31,1
A,15,A15,A153,39,39,1
A,15,A15,A154,39,39,1
B,15,B15,B151,39,39,1
B,15,B15,B152,39,39,1
B,15,B15,B153,39,39,1
B,15,B15,B154,39,39,1
B,15,B15,B155,46,46,1
C,15,C15,C151,40,40,1
C,15,C15,C152,46,46,1
C,15,C15,C153,46,46,1
C,15,C15,C154,46,46,1
C,15,C15,C155,46,46,1
D,15,D15,D151,46,10,1
D,15,D15,D152,46,46,1
D,15,D15,D153,46,46,1
D,15,D15,D154,46,46,1
D,15,D15,D155,46,46,1
