Treatment,Tank,Tub,Snail Length,,
High,2,TS,48,22,0
High,2,TS,52.5,22,0
High,2,TS,44,22,0
High,2,TS,48.5,22,0
High,2,TS,57,22,0
High,2,TS,57.5,22,0
High,2,TS,47,22,0
High,2,TS,47,22,0
High,4,TS,53.5,22,0
High,4,TS,45.5,22,0
High,4,TS,50,22,0
High,4,TS,49,22,0
High,4,TS,49,22,0
High,4,TS,50.5,22,0
High,4,TS,45,22,0
High,4,TS,52,22,0
High,9,TS,46.5,22,0
High,9,TS,51,22,0
High,9,TS,48,22,0
High,9,TS,51,22,0
High,9,TS,52.5,22,0
High,9,TS,46.5,22,0
High,9,TS,45.5,22,0
High,9,TS,45,22,0
High,10,TS,41.5,22,0
High,10,TS,44,22,0
High,10,TS,50.5,22,0
High,10,TS,47.5,22,0
High,10,TS,57.5,22,0
High,10,TS,48.5,22,0
High,10,TS,45.5,22,0
High,10,TS,49.5,22,0
High,2,WRA,32.5,22,0
High,2,WRA,37,22,0
High,2,WRA,39,22,0
High,2,WRA,32,22,0
High,2,WRA,37.5,22,0
High,2,WRA,43.5,22,0
High,2,WRA,44.5,22,0
High,2,WRA,33.5,22,0
High,2,WRA,39,22,0
High,2,WRA,49,22,0
High,4,WRA,34.5,22,0
High,4,WRA,37,22,0
High,4,WRA,41.5,22,0
High,4,WRA,36,22,0
High,4,WRA,37,22,0
High,4,WRA,37,22,0
High,4,WRA,38.5,22,0
High,4,WRA,38,22,0
High,4,WRA,34,22,0
High,4,WRA,41,22,0
High,4,WRA,32,22,0
High,9,WRA,32,22,0
High,9,WRA,36,22,0
High,9,WRA,40.5,22,0
High,9,WRA,34.5,22,0
High,9,WRA,39,22,0
High,9,WRA,33.5,22,0
High,9,WRA,33,22,0
High,9,WRA,43.5,22,0
High,9,WRA,45.5,22,0
High,9,WRA,37.5,22,0
High,9,WRA,38,22,0
High,10,WRA,35,22,0
High,10,WRA,33,22,0
High,10,WRA,32,22,0
High,10,WRA,41.5,22,0
High,10,WRA,43.5,22,0
High,10,WRA,37.5,22,0
High,10,WRA,34,22,0
High,10,WRA,40.5,22,0
High,10,WRA,37,22,0
High,10,WRA,38,22,0
High,10,WRA,40.5,22,0
High,2,WRJ,19.5,22,0
High,2,WRJ,19.5,22,0
High,2,WRJ,18.5,22,0
High,2,WRJ,18,22,0
High,2,WRJ,20,22,0
High,2,WRJ,25,22,0
High,2,WRJ,21,22,0
High,2,WRJ,22,22,0
High,2,WRJ,16,22,0
High,2,WRJ,21.5,22,0
High,2,WRJ,15.5,22,0
High,4,WRJ,16.5,22,0
High,4,WRJ,21,22,0
High,4,WRJ,16,22,0
High,4,WRJ,25,22,0
High,4,WRJ,19,22,0
High,4,WRJ,17,22,0
High,4,WRJ,22,22,0
High,4,WRJ,20,22,0
High,4,WRJ,18,22,0
High,4,WRJ,18.5,22,0
High,4,WRJ,21.5,22,0
High,4,WRJ,15.5,22,0
High,9,WRJ,19.5,22,0
High,9,WRJ,30,22,0
High,9,WRJ,25.5,22,0
High,9,WRJ,23,22,0
High,9,WRJ,17,22,0
High,9,WRJ,17,22,0
High,9,WRJ,16,22,0
High,9,WRJ,20.5,22,0
High,9,WRJ,17.5,22,0
High,9,WRJ,21.5,22,0
High,9,WRJ,20.5,22,0
High,9,WRJ,19,22,0
High,10,WRJ,20.5,22,0
High,10,WRJ,23.5,22,0
High,10,WRJ,19,22,0
High,10,WRJ,21,22,0
High,10,WRJ,17,22,0
High,10,WRJ,27.5,22,0
High,10,WRJ,18,22,0
High,10,WRJ,18,22,0
High,10,WRJ,21.5,22,0
High,10,WRJ,17,22,0
High,10,WRJ,16.5,22,0
High,10,WRJ,16.5,22,0
Rescue,1,TS,46,22,0
Rescue,1,TS,46.5,22,0
Rescue,1,TS,52.5,22,0
Rescue,1,TS,55.5,22,0
Rescue,1,TS,50,22,0
Rescue,1,TS,49,22,0
Rescue,1,TS,48.5,22,0
Rescue,5,TS,45,22,0
Rescue,5,TS,47,22,0
Rescue,5,TS,53.5,22,0
Rescue,5,TS,52.5,22,0
Rescue,5,TS,53,22,0
Rescue,5,TS,49,22,0
Rescue,5,TS,46,22,0
Rescue,8,TS,54.5,22,0
Rescue,8,TS,46.5,22,0
Rescue,8,TS,48,22,0
Rescue,8,TS,54.5,22,0
Rescue,8,TS,46,22,0
Rescue,8,TS,48,22,0
Rescue,8,TS,47,22,0
Rescue,8,TS,45.5,22,0
Rescue,12,TS,53,22,0
Rescue,12,TS,45,22,0
Rescue,12,TS,46.5,22,0
Rescue,12,TS,49,22,0
Rescue,12,TS,53,22,0
Rescue,12,TS,46.5,22,0
Rescue,5,WRA,42.5,22,0
Rescue,5,WRA,36.5,22,0
Rescue,5,WRA,42.5,22,0
Rescue,5,WRA,37.5,22,0
Rescue,5,WRA,37,22,0
Rescue,8,WRA,31.5,22,0
Rescue,8,WRA,42,22,0
Rescue,8,WRA,43.5,22,0
Rescue,8,WRA,37,22,0
Rescue,8,WRA,34.5,22,0
Rescue,12,WRA,46.5,22,0
Rescue,12,WRA,40,22,0
Rescue,12,WRA,33.5,22,0
Rescue,12,WRA,38.5,22,0
Rescue,1,WRJ,24.5,22,0
Rescue,8,WRJ,23,22,0
High,2,WRA,39,7,1
Low,3,TS,51,16,1
Low,3,TS,49.5,17,1
Low,3,TS,55.5,17,1
Low,3,TS,46,17,1
Low,3,TS,42.5,17,1
Low,3,TS,48,17,1
Low,3,TS,49.5,17,1
Low,3,TS,49,18,1
Low,6,TS,45.5,16,1
Low,6,TS,46.5,16,1
Low,6,TS,50,17,1
Low,6,TS,51.5,17,1
Low,6,TS,51.5,17,1
Low,6,TS,44.5,17,1
Low,6,TS,55,17,1
Low,7,TS,53,16,1
Low,7,TS,47.5,16,1
Low,7,TS,42.5,16,1
Low,7,TS,55,17,1
Low,7,TS,50,17,1
Low,7,TS,51,18,1
Low,7,TS,58,18,1
Low,11,TS,49.5,14,1
Low,11,TS,49,16,1
Low,11,TS,53.5,17,1
Low,11,TS,48.5,17,1
Low,11,TS,45.5,17,1
Low,11,TS,57,18,1
Low,11,TS,52,18,1
Low,3,WRA,35,7,1
Low,3,WRA,38,8,1
Low,3,WRA,34,8,1
Low,3,WRA,41,9,1
Low,3,WRA,42,9,1
Low,3,WRA,38,11,1
Low,3,WRA,41,12,1
Low,3,WRA,37.5,13,1
Low,3,WRA,37.5,13,1
Low,3,WRA,33.5,13,1
Low,6,WRA,38,8,1
Low,6,WRA,36.5,8,1
Low,6,WRA,37,8,1
Low,6,WRA,35.5,9,1
Low,6,WRA,32.5,9,1
Low,6,WRA,41,9,1
Low,6,WRA,37,10,1
Low,6,WRA,32.5,12,1
Low,6,WRA,42.5,13,1
Low,6,WRA,35,13,1
Low,6,WRA,43.5,15,1
Low,6,WRA,40,15,1
Low,7,WRA,36.5,6,1
Low,7,WRA,40,8,1
Low,7,WRA,34.5,8,1
Low,7,WRA,34,8,1
Low,7,WRA,36.5,9,1
Low,7,WRA,40,10,1
Low,7,WRA,38.5,10,1
Low,7,WRA,43,10,1
Low,7,WRA,35,10,1
Low,7,WRA,35,11,1
Low,11,WRA,32.5,6,1
Low,11,WRA,34.5,6,1
Low,11,WRA,41,7,1
Low,11,WRA,41,8,1
Low,11,WRA,35,8,1
Low,11,WRA,34.5,10,1
Low,11,WRA,49.5,11,1
Low,11,WRA,41.5,11,1
Low,11,WRA,35,11,1
Low,11,WRA,38,13,1
Low,11,WRA,36,13,1
Low,3,WRJ,17.5,5,1
Low,3,WRJ,18.5,5,1
Low,3,WRJ,21,6,1
Low,3,WRJ,17,6,1
Low,3,WRJ,15.5,6,1
Low,3,WRJ,16,6,1
Low,3,WRJ,16,6,1
Low,3,WRJ,21.5,6,1
Low,3,WRJ,29.5,7,1
Low,3,WRJ,24.5,8,1
Low,3,WRJ,21.5,8,1
Low,3,WRJ,11.5,8,1
Low,6,WRJ,18,5,1
Low,6,WRJ,12,5,1
Low,6,WRJ,22,6,1
Low,6,WRJ,18,6,1
Low,6,WRJ,20.5,6,1
Low,6,WRJ,24.5,7,1
Low,6,WRJ,19.5,7,1
Low,6,WRJ,17,7,1
Low,6,WRJ,22.5,7,1
Low,6,WRJ,22.5,8,1
Low,6,WRJ,17.5,8,1
Low,6,WRJ,29.5,9,1
Low,7,WRJ,21.5,5,1
Low,7,WRJ,17.5,5,1
Low,7,WRJ,21,6,1
Low,7,WRJ,16.5,6,1
Low,7,WRJ,14.5,6,1
Low,7,WRJ,16.5,6,1
Low,7,WRJ,23,8,1
Low,7,WRJ,21,8,1
Low,7,WRJ,16,8,1
Low,7,WRJ,15,8,1
Low,11,WRJ,20.5,5,1
Low,11,WRJ,25.5,5,1
Low,11,WRJ,12.5,5,1
Low,11,WRJ,17.5,5,1
Low,11,WRJ,21.5,5,1
Low,11,WRJ,26.5,6,1
Low,11,WRJ,21,6,1
Low,11,WRJ,16.5,6,1
Low,11,WRJ,19.5,7,1
Rescue,1,TS,43,19,1
Rescue,5,TS,51.5,18,1
Rescue,12,TS,50.5,16,1
Rescue,12,TS,48.5,18,1
Rescue,1,WRA,31,13,1
Rescue,1,WRA,38.5,14,1
Rescue,1,WRA,32.5,15,1
Rescue,1,WRA,40,16,1
Rescue,1,WRA,38.5,16,1
Rescue,1,WRA,37.5,17,1
Rescue,1,WRA,36.5,17,1
Rescue,1,WRA,32.5,18,1
Rescue,1,WRA,38,20,1
Rescue,1,WRA,46,21,1
Rescue,1,WRA,41,21,1
Rescue,5,WRA,32.5,10,1
Rescue,5,WRA,35,13,1
Rescue,5,WRA,36.5,17,1
Rescue,5,WRA,33.5,17,1
Rescue,5,WRA,41.5,18,1
Rescue,5,WRA,41,18,1
Rescue,8,WRA,37,13,1
Rescue,8,WRA,38.5,15,1
Rescue,8,WRA,36,16,1
Rescue,8,WRA,40.5,17,1
Rescue,8,WRA,33.5,17,1
Rescue,8,WRA,37,18,1
Rescue,12,WRA,38.5,12,1
Rescue,12,WRA,38,12,1
Rescue,12,WRA,35.5,12,1
Rescue,12,WRA,39,13,1
Rescue,12,WRA,33,18,1
Rescue,12,WRA,36,18,1
Rescue,12,WRA,35,21,1
Rescue,1,WRJ,12.5,5,1
Rescue,1,WRJ,22.5,8,1
Rescue,1,WRJ,17,8,1
Rescue,1,WRJ,21,9,1
Rescue,1,WRJ,18,9,1
Rescue,1,WRJ,13.5,10,1
Rescue,1,WRJ,21,11,1
Rescue,1,WRJ,16,11,1
Rescue,1,WRJ,21,13,1
Rescue,1,WRJ,20,21,1
Rescue,5,WRJ,29,7,1
Rescue,5,WRJ,20.5,7,1
Rescue,5,WRJ,18,7,1
Rescue,5,WRJ,18,8,1
Rescue,5,WRJ,19,9,1
Rescue,5,WRJ,18,10,1
Rescue,5,WRJ,25.5,11,1
Rescue,5,WRJ,22,11,1
Rescue,5,WRJ,20,11,1
Rescue,5,WRJ,21.5,13,1
Rescue,5,WRJ,16.5,13,1
Rescue,5,WRJ,16,18,1
Rescue,8,WRJ,21.5,6,1
Rescue,8,WRJ,20,8,1
Rescue,8,WRJ,15.5,8,1
Rescue,8,WRJ,14.5,8,1
Rescue,8,WRJ,12,9,1
Rescue,8,WRJ,20,10,1
Rescue,8,WRJ,16,10,1
Rescue,8,WRJ,28.5,12,1
Rescue,8,WRJ,20.5,12,1
Rescue,8,WRJ,18,12,1
Rescue,8,WRJ,24,17,1
Rescue,12,WRJ,17.5,5,1
Rescue,12,WRJ,22,6,1
Rescue,12,WRJ,18,7,1
Rescue,12,WRJ,15.5,7,1
Rescue,12,WRJ,18,8,1
Rescue,12,WRJ,17.5,8,1
Rescue,12,WRJ,16,8,1
Rescue,12,WRJ,23.5,11,1
Rescue,12,WRJ,20.5,11,1
Rescue,12,WRJ,23,12,1
Rescue,12,WRJ,18.5,13,1
Rescue,12,WRJ,25.5,19,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
