year,date,salinity.regime,site,transect,live.tot,live.adults,live.juveniles,empty.tot,empty.adult,empty.juv,egg.mass,notes,num.tran
2011,18-May-11,fresh,Tower South,a,128,,,,,,0,,4
2011,18-May-11,fresh,Tower South,b,89,,,,,,0,,4
2011,18-May-11,fresh,Tower South,c,83,,,,,,0,,4
2011,18-May-11,fresh,Tower South,d,66,,,,,,0,,4
2011,20-Apr-11,fresh,Tower North,a,21,,,0,,,0,,4
2011,20-Apr-11,fresh,Tower North,b,15,,,0,,,0,,4
2011,20-Apr-11,fresh,Tower North,c,36,,,0,,,0,,4
2011,20-Apr-11,fresh,Tower North,d,13,,,0,,,0,,4
2011,19-Apr-11,fresh,Dunbar,a,149,,,0,,,1,,4
2011,19-Apr-11,fresh,Dunbar,b,43,,,0,,,0,,4
2011,19-Apr-11,fresh,Dunbar,c,7,,,0,,,0,,4
2011,19-Apr-11,fresh,Dunbar,d,56,,,0,,,1,,4
2011,19-Apr-11,fresh,Waterloo,a,160,,,0,,,4,,4
2011,19-Apr-11,fresh,Waterloo,b,209,,,0,,,2,,4
2011,19-Apr-11,fresh,Waterloo,c,231,,,0,,,1,,4
2011,19-Apr-11,fresh,Waterloo,d,235,,,0,,,2,,4
2011,18-May-11,fresh,Kits Point,a,26,,,,,,0,,4
2011,18-May-11,fresh,Kits Point,b,10,,,,,,0,,4
2011,18-May-11,fresh,Kits Point,c,34,,,,,,0,,4
2011,18-May-11,fresh,Kits Point,d,19,,,,,,1,,4
2011,19-May-11,fresh,Point Atkinson,a,43,31,12,1,0,1,0,,4
2011,19-May-11,fresh,Point Atkinson,b,15,11,4,2,0,2,0,,4
2011,19-May-11,fresh,Point Atkinson,c,19,4,6,0,,,0,,4
2011,19-May-11,fresh,Point Atkinson,d,31,,,5,,,0,,4
2011,21-May-11,fresh,Weston Park,a,14,6,8,0,0,0,,"2 adults, 1 juvenile measured off transects",4
2011,21-May-11,fresh,Weston Park,b,5,3,2,1,0,1,,,4
2011,21-May-11,fresh,Weston Park,c,7,5,2,0,,,,,4
2011,21-May-11,fresh,Weston Park,d,12,5,7,2,,,,,4
2011,21-May-11,salty,Weston Spit,a,105,,,,,,,"31 adults, 19 juveniles measured off transects",2
2011,21-May-11,salty,Weston Spit,b,54,,,,,,,,2
2011,21-May-11,salty,Weston Spit,c,,,,,,,,,
2011,21-May-11,salty,Weston Spit,d,,,,,,,,,
2011,22-Apr-11,salty,Figurehead,a,9,,,0,,,,,4
2011,22-Apr-11,salty,Figurehead,b,4,,,0,,,,,4
2011,22-Apr-11,salty,Figurehead,c,9,,,0,,,,,4
2011,22-Apr-11,salty,Figurehead,d,3,,,0,,,,,4
2011,20-May-11,salty,White Rock,a,15,7,8,6,,,1,,4
2011,20-May-11,salty,White Rock,b,11,11,0,1,,,0,,4
2011,20-May-11,salty,White Rock,c,73,38,6,3,,,2,,4
2011,20-May-11,salty,White Rock,d,31,,,10,,,0,,4
2011,17-May-11,salty,Yellow Point,a,66,,,,,,2,,4
2011,17-May-11,salty,Yellow Point,b,64,,,,,,4,,4
