Site,salinity regime,Date,salinity,season1,season2,Year,rawdate,Hope discharge,Hope 14d average,sqrt 14d discharge,(outflow data from 28Jun17 download)
Dunbar,fresh,2007-10-26,19,winter,winter,2007,37919,1990,2179.285714,46.68282033,
Dunbar,fresh,2007-12-04,26,winter,winter,2007,37958,2080,1780.714286,42.19851047,
Dunbar,fresh,2008-01-08,27,winter,winter,2008,37993,980,1147.785714,33.87898632,
Dunbar,fresh,2008-01-20,26,winter,winter,2008,38005,960,962.2142857,31.01957907,
Dunbar,fresh,2008-02-28,29.7,winter,winter,2008,38044,862,863.7142857,29.38901641,
Dunbar,fresh,2008-03-04,25,winter,winter,2008,38049,871,865.7142857,29.42302306,
Dunbar,fresh,2008-03-31,24,winter,winter,2008,38076,768,814.6428571,28.54194908,
Dunbar,fresh,2008-04-09,25.5,winter,winter,2008,38085,736,753.6428571,27.45255648,
Dunbar,fresh,2008-04-22,21,winter,winter,2008,38098,1530,1143.071429,33.80933937,
Dunbar,fresh,2008-05-05,21.5,May-Aug,winter,2008,38111,2850,1759.285714,41.94384,
Dunbar,fresh,2008-05-21,11,May-Aug,winter,2008,38127,8750,5084.285714,71.3041774,
Dunbar,fresh,2008-06-02,6.3,May-Aug,Jun-Jul,2008,38139,9450,9402.857143,96.96833062,
Dunbar,fresh,2008-06-07,6.8,May-Aug,Jun-Jul,2008,38144,8750,9309.285714,96.48463978,
Dunbar,fresh,2008-06-16,5.5,May-Aug,Jun-Jul,2008,38153,6680,7897.142857,88.86587004,
Dunbar,fresh,2008-06-29,8.8,May-Aug,Jun-Jul,2008,38166,5920,6226.428571,78.90772187,
Dunbar,fresh,2008-07-03,11.3,May-Aug,Jun-Jul,2008,38170,6400,6075.714286,77.94686835,
Dunbar,fresh,2008-08-02,10.7,May-Aug,winter,2008,38200,3400,3705,60.86871117,
Dunbar,fresh,2008-08-15,19,May-Aug,winter,2008,38213,3490,3162.142857,56.23293392,
Dunbar,fresh,2008-08-18,18.3,May-Aug,winter,2008,38216,3080,3124.285714,55.89531031,
Dunbar,fresh,2008-08-29,16,May-Aug,winter,2008,38227,3360,3436.428571,58.62105911,
Dunbar,fresh,2008-10-18,26.7,winter,winter,2008,38277,1670,1400,37.41657387,
Dunbar,fresh,2008-11-22,22.2,winter,winter,2008,38312,1850,1945.714286,44.11025148,
Dunbar,fresh,2008-12-12,26.3,winter,winter,2008,38332,1460,1431.428571,37.83422487,
Dunbar,fresh,2009-01-03,28.7,winter,winter,2009,38354,1040,875.8571429,29.59488373,
Dunbar,fresh,2009-01-24,30.3,winter,winter,2009,38375,970,1035.571429,32.18029566,
Dunbar,fresh,2009-02-28,29.7,winter,winter,2009,38410,708,784,28,
Dunbar,fresh,2009-03-03,26,winter,winter,2009,38413,783,767.1428571,27.69734386,
Dunbar,fresh,2009-05-06,20,May-Aug,winter,2009,38477,4030,3510,59.24525297,
Dunbar,fresh,2009-05-12,17.8,May-Aug,winter,2009,38483,4510,3841.428571,61.9792592,
Dunbar,fresh,2009-05-21,14.8,May-Aug,winter,2009,38492,5230,4632.857143,68.06509489,
